DetectorDescription/DetDescrCnvSvc	DetDescrCnvSvc-00-04-11
DetectorDescription/GeoModel/GeoModelInterfaces	GeoModelInterfaces-00-00-02
DetectorDescription/GeoModel/GeoModelKernel	GeoModelKernel-00-00-77
DetectorDescription/GeoModel/GeoModelSvc	GeoModelSvc-02-00-03
DetectorDescription/GeoModel/GeoModelUtilities	GeoModelUtilities-00-01-01
DetectorDescription/GeoModel/GeoSpecialShapes	GeoSpecialShapes-00-00-23
DetectorDescription/IdDict	IdDict-00-08-18
DetectorDescription/IdDictDetDescr	IdDictDetDescr-00-00-07
DetectorDescription/IdDictDetDescrCnv	IdDictDetDescrCnv-00-00-43
DetectorDescription/IdDictParser	IdDictParser-00-02-22
DetectorDescription/Identifier	Identifier-00-09-29
Event/ByteStreamData	ByteStreamData-01-08-21
Event/EventAthenaPool	EventAthenaPool-00-05-10
Event/EventContainers	EventContainers-00-04-14
Event/EventInfo	EventInfo-00-11-00
Event/EventInfoMgt	EventInfoMgt-00-02-18
Event/EventTPCnv	EventTPCnv-00-04-00
External/Ant	Ant-00-01-00
External/AtlasAIDA	AtlasAIDA-00-01-02
External/AtlasBlas	AtlasBlas-00-02-00
External/AtlasBoost	AtlasBoost-00-00-06
External/AtlasBzip2	AtlasBzip2-00-01-01
External/AtlasCLHEP	AtlasCLHEP-00-00-08
External/AtlasCOOL	AtlasCOOL-00-00-11
External/AtlasCORAL	AtlasCORAL-00-00-10
External/AtlasCppUnit	AtlasCppUnit-00-00-06
External/AtlasCython	AtlasCython-00-01-06
External/AtlasDBRelease	AtlasDBRelease-00-02-41
External/AtlasDCACHE	AtlasDCACHE-00-00-02
External/AtlasDPM	AtlasDPM-00-00-05
External/AtlasDSFMT	AtlasDSFMT-00-00-03
External/AtlasDataArea	AtlasDataArea-00-00-21
External/AtlasEigen	AtlasEigen-00-00-02
External/AtlasExpat	AtlasExpat-00-00-05
External/AtlasExternalArea	AtlasExternalArea-00-00-25
External/AtlasGPerfTools	AtlasGPerfTools-00-00-04
External/AtlasGSL	AtlasGSL-00-00-10
External/AtlasGdb	AtlasGdb-00-00-14
External/AtlasH5Py	AtlasH5Py-00-02-00
External/AtlasHdf5	AtlasHdf5-00-01-05
External/AtlasInlineAssistant	AtlasInlineAssistant-00-00-00
External/AtlasLapack	AtlasLapack-00-02-00
External/AtlasLibUnwind	AtlasLibUnwind-00-00-04
External/AtlasLzo	AtlasLzo-00-01-00
External/AtlasMKL	AtlasMKL-00-01-01
External/AtlasMagField	AtlasMagField-00-00-00
External/AtlasMatplotlib	AtlasMatplotlib-00-03-00
External/AtlasNose	AtlasNose-00-00-02
External/AtlasNumPy	AtlasNumPy-00-05-00
External/AtlasOracle	AtlasOracle-00-01-24
External/AtlasPOOL	AtlasPOOL-00-02-01
External/AtlasProtobuf	AtlasProtobuf-00-00-03
External/AtlasPyCrypto	AtlasPyCrypto-00-00-00
External/AtlasPyFwdBwdPorts	AtlasPyFwdBwdPorts-00-02-25
External/AtlasPyQt4	AtlasPyQt4-00-04-01
External/AtlasPyROOT	AtlasPyROOT-00-01-01
External/AtlasPyTables	AtlasPyTables-00-01-08
External/AtlasPython	AtlasPython-00-01-06
External/AtlasQt4	AtlasQt4-00-00-11
External/AtlasRELAX	AtlasRELAX-00-01-00
External/AtlasROOT	AtlasROOT-02-03-09
External/AtlasReflex	AtlasReflex-00-02-42-01
External/AtlasSQLite	AtlasSQLite-00-00-05
External/AtlasSciPy	AtlasSciPy-00-04-00
External/AtlasShift	AtlasShift-00-00-10
External/AtlasSzip	AtlasSzip-00-01-00
External/AtlasTBB	AtlasTBB-00-00-05
External/AtlasTCMalloc	AtlasTCMalloc-00-02-02
External/AtlasValgrind	AtlasValgrind-00-01-13
External/AtlasXercesC	AtlasXercesC-00-00-05
External/AtlasZope	AtlasZope-00-00-00
External/Axis	Axis-00-01-01
External/CERNJavaInstallation	CERNJavaInstallation-01-01-00
External/DataCollection	DataCollection-00-18-06
External/ExternalPolicy	ExternalPolicy-00-01-66
External/GaudiInterface	GaudiInterface-01-03-04
External/JavaSDK	JavaSDK-01-07-03
External/MMMySQL	MMMySQL-00-01-00
External/Mac105_Compat	Mac105_Compat-00-00-01
External/MySQL	MySQL-00-02-06
External/PlatformPolicy	PlatformPolicy-00-00-15
External/ZSI	ZSI-00-00-02
External/pyAMI	pyAMI-04-00-04
External/yampl	yampl-00-00-03
Generators/McEventSelector	McEventSelector-02-03-00
LCG_Interfaces/dcache_client	dcache_client-00-65-00-01
PhysicsAnalysis/AraTool	AraTool-00-02-06
AtlasCoreRunTime	AtlasCoreRunTime-00-00-49
Simulation/Tools/AtlasCLHEP_RandomGenerators	AtlasCLHEP_RandomGenerators-00-02-03
TestPolicy	TestPolicy-00-02-03
Tools/AlgorithmToolSetup	AlgorithmToolSetup-00-00-07
Tools/ChkLib	ChkLib-00-00-02
Tools/CodeCheck	CodeCheck-01-02-03
Tools/CoolDozer	CoolDozer-00-00-42-10
Tools/DCubeClient	DCubeClient-00-00-45
Tools/LWHists	LWHists-00-06-06
Tools/PROCTools	PROCTools-00-00-72
