Database/AthenaPOOL/RootFileTools                                                    RootFileTools-00-01-46                                  
Database/AthenaPOOL/StlAthenaPoolCnv                                                 StlAthenaPoolCnv-00-00-03                               
Database/AthenaRoot/AthenaRootComps                                                  AthenaRootComps-00-11-03                                
Database/AthenaRoot/AthenaRootKernel                                                 AthenaRootKernel-00-01-00                               
Database/AtlasSTLAddReflex                                                           AtlasSTLAddReflex-00-00-30                              
Database/AtlasSealCLHEP                                                              AtlasSealCLHEP-00-01-09                                 
Database/CondDBObjects                                                               CondDBObjects-00-00-07                                  
Database/ConnectionManagement/AtlasAuthentication                                    AtlasAuthentication-00-05-03                            
Database/ConnectionManagement/DBReplicaSvc                                           DBReplicaSvc-00-01-02                                   
Database/EventIndex/EventIndexProducer                                               EventIndexProducer-00-01-00                             
Database/IOVDbAthenaPool                                                             IOVDbAthenaPool-00-00-04                                
Database/IOVDbDataModel                                                              IOVDbDataModel-00-00-27                                 
Database/IOVDbMetaDataTools                                                          IOVDbMetaDataTools-00-00-43                             
Database/IOVDbSvc                                                                    IOVDbSvc-01-07-01                                       
Database/IOVDbTPCnv                                                                  IOVDbTPCnv-00-01-04                                     
Database/PersistentDataModel                                                         PersistentDataModel-00-00-40                            
Database/PersistentDataModelAthenaPool                                               PersistentDataModelAthenaPool-00-01-02                  
Database/PersistentDataModelTPCnv                                                    PersistentDataModelTPCnv-00-02-04                       
Database/RegistrationServices                                                        RegistrationServices-00-06-48                           
Database/TPTools                                                                     TPTools-00-00-02                                        
DetectorDescription/AtlasDetDescr                                                    AtlasDetDescr-00-08-04                                  
DetectorDescription/DetDescrCnvSvc                                                   DetDescrCnvSvc-00-04-11                                 
DetectorDescription/GeoModel/GeoModelInterfaces                                      GeoModelInterfaces-00-00-03                             
DetectorDescription/GeoModel/GeoModelKernel                                          GeoModelKernel-00-00-80                                 
DetectorDescription/GeoModel/GeoModelSvc                                             GeoModelSvc-02-00-06                                    
DetectorDescription/GeoModel/GeoModelUtilities                                       GeoModelUtilities-00-01-02                              
DetectorDescription/GeoModel/GeoSpecialShapes                                        GeoSpecialShapes-00-00-24                               
DetectorDescription/IdDict                                                           IdDict-00-08-19                                         
DetectorDescription/IdDictDetDescr                                                   IdDictDetDescr-00-00-07                                 
DetectorDescription/IdDictDetDescrCnv                                                IdDictDetDescrCnv-00-00-44                              
DetectorDescription/IdDictParser                                                     IdDictParser-00-02-27                                   
DetectorDescription/Identifier                                                       Identifier-00-09-32                                     
Event/ByteStreamData                                                                 ByteStreamData-01-08-24                                 
Event/EventAthenaPool                                                                EventAthenaPool-00-05-11                                
Event/EventContainers                                                                EventContainers-00-04-16                                
Event/EventInfo                                                                      EventInfo-00-11-02-01                                   
Event/EventInfoMgt                                                                   EventInfoMgt-00-02-20                                   
Event/EventTPCnv                                                                     EventTPCnv-00-04-08                                     
External/APEGlue                                                                     APEGlue-00-00-01                                        
External/Ant                                                                         Ant-00-01-01                                            
External/AtlasAIDA                                                                   AtlasAIDA-00-01-02                                      
External/AtlasBlas                                                                   AtlasBlas-00-02-00                                      
External/AtlasBoost                                                                  AtlasBoost-00-00-07                                     
External/AtlasBzip2                                                                  AtlasBzip2-00-01-01                                     
External/AtlasCLHEP                                                                  AtlasCLHEP-00-00-08                                     
External/AtlasCOOL                                                                   AtlasCOOL-00-00-11                                      
External/AtlasCORAL                                                                  AtlasCORAL-00-00-10                                     
External/AtlasCppUnit                                                                AtlasCppUnit-00-00-06                                   
External/AtlasCython                                                                 AtlasCython-00-01-06                                    
External/AtlasDBRelease                                                              AtlasDBRelease-01-00-03                                 
External/AtlasDCACHE                                                                 AtlasDCACHE-00-00-02                                    
External/AtlasDPM                                                                    AtlasDPM-00-00-05                                       
External/AtlasDSFMT                                                                  AtlasDSFMT-00-00-03                                     
External/AtlasDataArea                                                               AtlasDataArea-00-00-25                                  
External/AtlasEigen                                                                  AtlasEigen-00-00-05                                     
External/AtlasExpat                                                                  AtlasExpat-00-00-05                                     
External/AtlasExternalArea                                                           AtlasExternalArea-00-00-25                              
External/AtlasFFTW                                                                   AtlasFFTW-00-00-01                                      
External/AtlasGPerfTools                                                             AtlasGPerfTools-00-00-07                                
External/AtlasGSL                                                                    AtlasGSL-00-00-10                                       
External/AtlasGdb                                                                    AtlasGdb-00-00-15                                       
External/AtlasH5Py                                                                   AtlasH5Py-00-02-00                                      
External/AtlasHdf5                                                                   AtlasHdf5-00-01-05                                      
External/AtlasInlineAssistant                                                        AtlasInlineAssistant-00-00-00                           
External/AtlasLapack                                                                 AtlasLapack-00-02-00                                    
External/AtlasLibUnwind                                                              AtlasLibUnwind-00-00-05                                 
External/AtlasLzo                                                                    AtlasLzo-00-01-00                                       
External/AtlasMKL                                                                    AtlasMKL-00-01-01                                       
External/AtlasMagField                                                               AtlasMagField-00-00-01                                  
External/AtlasMatplotlib                                                             AtlasMatplotlib-00-03-00                                
External/AtlasNose                                                                   AtlasNose-00-00-02                                      
External/AtlasNumPy                                                                  AtlasNumPy-00-05-00                                     
External/AtlasOracle                                                                 AtlasOracle-00-01-26                                    
External/AtlasPOOL                                                                   AtlasPOOL-00-02-01                                      
External/AtlasPyCrypto                                                               AtlasPyCrypto-00-00-00                                  
External/AtlasPyFwdBwdPorts                                                          AtlasPyFwdBwdPorts-00-02-25                             
External/AtlasPyQt4                                                                  AtlasPyQt4-00-04-01                                     
External/AtlasPyROOT                                                                 AtlasPyROOT-00-01-01                                    
External/AtlasPyTables                                                               AtlasPyTables-00-01-08                                  
External/AtlasPython                                                                 AtlasPython-00-01-07                                    
External/AtlasQt4                                                                    AtlasQt4-00-00-11                                       
External/AtlasRELAX                                                                  AtlasRELAX-00-01-00                                     
External/AtlasROOT                                                                   AtlasROOT-02-03-15                                      
External/AtlasReflex                                                                 AtlasReflex-00-02-50                                    
External/AtlasSQLite                                                                 AtlasSQLite-00-00-05                                    
External/AtlasSciPy                                                                  AtlasSciPy-00-04-00                                     
External/AtlasShift                                                                  AtlasShift-00-00-10                                     
External/AtlasSzip                                                                   AtlasSzip-00-01-00                                      
External/AtlasTBB                                                                    AtlasTBB-00-00-06                                       
External/AtlasValgrind                                                               AtlasValgrind-00-01-13                                  
External/AtlasXercesC                                                                AtlasXercesC-00-00-05                                   
External/AtlasZope                                                                   AtlasZope-00-00-00                                      
External/Axis                                                                        Axis-00-01-02                                           
External/CERNJavaInstallation                                                        CERNJavaInstallation-01-01-00                           
External/CheckerGccPlugins                                                           CheckerGccPlugins-00-01-03                              
External/DataCollection                                                              DataCollection-00-18-06                                 
External/ExternalPolicy                                                              ExternalPolicy-00-01-69                                 
External/GaudiInterface                                                              GaudiInterface-01-03-04                                 
External/JavaSDK                                                                     JavaSDK-01-07-03                                        
External/MMMySQL                                                                     MMMySQL-00-01-01                                        
External/Mac105_Compat                                                               Mac105_Compat-00-00-01                                  
External/MySQL                                                                       MySQL-00-02-06                                          
External/PlatformPolicy                                                              PlatformPolicy-00-00-18                                 
External/ZSI                                                                         ZSI-00-00-02                                            
External/pyAMI                                                                       pyAMI-04-00-04                                          
External/yampl                                                                       yampl-00-00-03                                          
Generators/McEventSelector                                                           McEventSelector-02-03-04                                
Offloading/OffloadSvc                                                                OffloadSvc-00-00-01                                     
PhysicsAnalysis/AnalysisCommon/PATCore                                               PATCore-00-00-19                                        
PhysicsAnalysis/AraTool                                                              AraTool-00-02-08                                        
AtlasCoreRelease                                                                     AtlasCoreRelease--00-02-41                     
AtlasCoreRunTime                                                                     AtlasCoreRunTime-00-00-51                               
Simulation/Tools/AtlasCLHEP_RandomGenerators                                         AtlasCLHEP_RandomGenerators-00-02-03                    
TestPolicy                                                                           TestPolicy-00-02-03                                     
Tools/AlgorithmToolSetup                                                             AlgorithmToolSetup-00-00-09                             
Tools/ChkLib                                                                         ChkLib-00-00-03                                         
Tools/CodeCheck                                                                      CodeCheck-01-02-03                                      
Tools/CoolDozer                                                                      CoolDozer-00-00-42-10                                   
Tools/DCubeClient                                                                    DCubeClient-00-00-45                                    
Tools/LWHists                                                                        LWHists-00-06-09                                        
Tools/PROCTools                                                                      PROCTools-00-00-76                                      
